# ZZ,NN,Existence
34,29,bound
34,30,bound
34,31,bound
34,32,bound
34,33,bound
34,34,bound
34,35,bound
34,36,bound
34,37,bound
34,38,bound
34,39,bound
34,40,bound
34,41,bound
34,42,bound
34,43,bound
34,44,bound
34,45,bound
34,46,bound
34,47,bound
34,48,bound
34,49,bound
34,50,bound
34,51,bound
34,52,bound
34,53,bound
34,54,bound
34,55,bound
34,56,bound
34,57,bound
34,58,bound
34,59,bound
34,60,bound
34,61,bound
34,62,bound
34,63,bound
34,64,bound
34,65,bound
34,66,bound
34,67,bound
34,68,bound
34,69,bound
34,70,bound
34,71,bound
34,72,bound
34,73,bound
34,74,bound
34,75,unbound
34,76,bound
34,77,unbound
34,78,bound
34,79,unbound
34,80,bound
34,81,unbound
34,82,bound
34,83,unbound
34,84,unbound
34,85,unbound
34,86,unbound
34,87,unbound
34,88,unbound
34,89,unbound
34,90,unbound
34,91,unbound
35,26,unbound
35,27,bound
35,28,bound
35,29,bound
35,30,bound
35,31,bound
35,32,bound
35,33,bound
35,34,bound
35,35,bound
35,36,bound
35,37,bound
35,38,bound
35,39,bound
35,40,bound
35,41,bound
35,42,bound
35,43,bound
35,44,bound
35,45,bound
35,46,bound
35,47,bound
35,48,bound
35,49,bound
35,50,bound
35,51,bound
35,52,bound
35,53,bound
35,54,bound
35,55,bound
35,56,bound
35,57,bound
35,58,bound
35,59,bound
35,60,bound
35,61,bound
35,62,bound
35,63,bound
35,64,bound
35,65,bound
35,66,bound
35,67,bound
35,68,bound
35,69,bound
35,70,bound
35,71,bound
35,72,bound
35,73,bound
35,74,bound
35,75,bound
35,76,bound
35,77,bound
35,78,bound
35,79,bound
35,80,bound
35,81,bound
35,82,bound
35,83,bound
35,84,unbound
35,85,unbound
35,86,unbound
35,87,unbound
35,88,unbound
35,89,unbound
35,90,unbound
35,91,unbound
36,28,unbound
36,29,bound
36,30,bound
36,31,bound
36,32,bound
36,33,bound
36,34,bound
36,35,bound
36,36,bound
36,37,bound
36,38,bound
36,39,bound
36,40,bound
36,41,bound
36,42,bound
36,43,bound
36,44,bound
36,45,bound
36,46,bound
36,47,bound
36,48,bound
36,49,bound
36,50,bound
36,51,bound
36,52,bound
36,53,bound
36,54,bound
36,55,bound
36,56,bound
36,57,bound
36,58,bound
36,59,bound
36,60,bound
36,61,bound
36,62,bound
36,63,bound
36,64,bound
36,65,bound
36,66,bound
36,67,bound
